Year,COMMENT_OBS,REF_AREA,SEX,AGE,URBANISATION,TIME_DETAIL,Value
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y0T14,,2021,2.82324
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y0T14,,2021,0.26269
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y0T14,,2021,0.58898
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y15T64,,2021,1.91615
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y15T64,,2021,1.10185
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y15T64,,2021,0.10401
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y15T64,,2021,0.21216
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,F,,,2021,2.69754
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,F,,,2021,1.56974
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,F,,,2021,0.15125
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,F,,,2021,0.3126
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,M,,,2021,2.42848
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,M,,,2021,1.41842
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,M,,,2021,0.12854
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,M,,,2021,0.23355
