Year,COMMENT_OBS,Reference area,Sex,Age,Degree of urbanisation,Time period details,Observation-level footnotes,Value
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,Male,,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",47.05986
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,Male,,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",39.59019
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,Male,,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",32.78815
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,Male,,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",22.35531
1985,"Accessed March 26, 2024. Based on data from HIES. Estimated from grouped consumption data.",Botswana,,,,2015,"Accessed March 26, 2024. Based on data from BMTHS. Estimated from unit-record consumption data.",41.8
1993,"Accessed March 26, 2024. Based on data from HIES. Estimated from grouped consumption data.",Botswana,,,,2015,"Accessed March 26, 2024. Based on data from BMTHS. Estimated from unit-record consumption data.",34.1
2002,"Accessed March 26, 2024. Based on data from HIES. Estimated from unit-record consumption data.",Botswana,,,,2015,"Accessed March 26, 2024. Based on data from BMTHS. Estimated from unit-record consumption data.",29.1
2009,"Accessed March 26, 2024. Based on data from CWIS. Estimated from unit-record consumption data.",Botswana,,,,2015,"Accessed March 26, 2024. Based on data from BMTHS. Estimated from unit-record consumption data.",17.7
2015,"Accessed March 26, 2024. Based on data from BMTHS. Estimated from unit-record consumption data.",Botswana,,,,2015,"Accessed March 26, 2024. Based on data from BMTHS. Estimated from unit-record consumption data.",15.4
2009,"Accessed March 26, 2024. Survey name: CWIS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,,,Rural,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",22.93314
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,,,Rural,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",24.40169
2009,"Accessed March 26, 2024. Survey name: CWIS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,,,Urban,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",13.72255
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,,,Urban,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",10.60758
2009,"Accessed March 26, 2024. Survey name: CWIS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,,65 years old and over,,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",16.47038
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,,65 years old and over,,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",14.89245
2009,"Accessed March 26, 2024. Survey name: CWIS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,,under 15 years old,,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",25.06426
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,,under 15 years old,,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",21.26871
2009,"Accessed March 26, 2024. Survey name: CWIS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,,15 to 64 years old,,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",13.67522
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,,15 to 64 years old,,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",12.13623
2009,"Accessed March 26, 2024. Survey name: CWIS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,Female,,,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",18.74472
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,Female,,,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",15.91849
2009,"Accessed March 26, 2024. Survey name: CWIS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,Male,,,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",16.52654
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",Botswana,Male,,,2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",14.87288
1985,"Accessed March 26, 2024. Based on data from HBCS. Estimated from grouped consumption data.",Tunisia,,,,2021,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",12.3
1990,"Accessed March 26, 2024. Based on data from HBCS. Estimated from grouped consumption data.",Tunisia,,,,2021,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",8.6
1995,"Accessed March 26, 2024. Based on data from LSS. Estimated from grouped consumption data.",Tunisia,,,,2021,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",9.5
2000,"Accessed March 26, 2024. Based on data from LSS. Estimated from grouped consumption data.",Tunisia,,,,2021,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",4.4
2005,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",Tunisia,,,,2021,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",2.6
2010,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",Tunisia,,,,2021,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",1.5
2015,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",Tunisia,,,,2021,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",0.1
2021,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",Tunisia,,,,2021,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",0.3
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,,Rural,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",6.27959
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,,Rural,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",3.91816
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,,Rural,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.39959
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,,Rural,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.36294
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,,Urban,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.59066
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,,Urban,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.22779
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,,Urban,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.02023
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,,Urban,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.23168
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,65 years old and over,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",1.7197
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,65 years old and over,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",1.01645
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,65 years old and over,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.08076
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,65 years old and over,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.02267
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,under 15 years old,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",4.43865
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,under 15 years old,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",2.82324
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,under 15 years old,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.26269
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,under 15 years old,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.58898
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,15 to 64 years old,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",1.91615
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,15 to 64 years old,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",1.10185
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,15 to 64 years old,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.10401
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,,15 to 64 years old,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.21216
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,Female,,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",2.69754
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,Female,,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",1.56974
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,Female,,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.15125
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,Female,,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.3126
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,Male,,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",2.42848
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,Male,,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",1.41842
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,Male,,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.12854
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",Tunisia,Male,,,2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",0.23355
